,sigma_random_los,Re,halo_id,zeta,xi,triaxiality,zeta_new,xi_new
621,155.79364591314305,6.164017346748897,223898,0.8587263482253128,0.38461425424412693,0.30817712265225766,1.0,0.357446324133294
634,260.25247840412686,21.820478176580913,227574,0.8168031900582133,0.48929183899945183,0.4375958384272914,1.0,0.4444734869818269
643,190.15954248234092,8.268060926697054,231706,0.8603767688140582,0.6032921272701348,0.40839001271080333,1.0,0.5611753291908865
662,230.175749539152,22.827000531409478,239245,0.8893920549915524,0.5628550375404912,0.3058892632047633,1.0,0.531726918020488
666,150.96227607383713,2.9592295676256324,241155,0.8571479014650131,0.539876163222453,0.3744316810706101,1.0,0.5013149417897808
667,217.75863624261623,13.300682589624262,242214,0.932397764292644,0.5801717733268986,0.1969162928175438,1.0,0.5605613188412988
704,168.123957552464,7.974260182593116,258264,0.9893798974206923,0.529806818319542,0.029371999855000632,1.0,0.526993516940657
709,228.60439474474288,10.66655504976581,260014,0.9049744546943357,0.5152126993195876,0.24643630613370116,1.0,0.49073351546896404
729,231.48738174627135,14.200268261788242,268295,0.9824765654819899,0.6145379625122176,0.055820975102060945,1.0,0.6091535546397605
740,187.53385193674592,14.578473017640674,271729,0.9764788965717778,0.3697762289787651,0.05385245022521495,1.0,0.36542745651521136
746,172.19519748031635,11.51778167188821,273994,0.87185991140555,0.6817672690813731,0.4481749943159548,1.0,0.6380864099509314
754,205.85668101765103,10.538937298847303,277020,0.9079292862352798,0.45655049633865186,0.2219213278748608,1.0,0.43553303130488336
759,174.78029072860394,13.519999954240975,279707,0.8667999590002909,0.6943102281307969,0.48009623567781456,1.0,0.6480691527040272
761,181.5292601751949,8.293062069821916,281700,0.8337295795364293,0.6038291394829819,0.47985459404532366,1.0,0.5536296770279862
764,153.65269260965152,13.493539192062888,284948,0.934997928190314,0.4704667782904603,0.16153226189534872,1.0,0.45517612063720625
767,195.65607875325736,6.7112327815073645,286066,0.8651615704722091,0.5219399322865285,0.34566082614725485,1.0,0.48675115189784995
801,188.47367555990328,12.11348267935893,299935,0.8485460554361371,0.6501751252820747,0.4849870479990172,1.0,0.6009393315914378
805,162.80541668086485,5.726363790690484,301127,0.911688292070006,0.7434377794332624,0.3774298164749867,1.0,0.7106106494125456
814,150.3057145286987,12.153625492212413,303710,0.988181048388892,0.38506669183735504,0.027589014115832505,1.0,0.3827911495384175
816,206.82804614864614,13.688274961739245,304726,0.9001380448129492,0.43620162787140415,0.23433976287061933,1.0,0.41442165416389776
820,189.23312807289818,10.805540165742844,306516,0.9622765499507331,0.5364649218876975,0.10393608740593928,1.0,0.5263462680456903
824,172.19237476096475,7.469572825953366,308060,0.8984152930152093,0.6139010098414148,0.30948813002546693,1.0,0.5827195327402113
828,181.3711847674048,9.668357409484956,309045,0.8645616081406238,0.5457886082132812,0.35967512360608506,1.0,0.5088282425174943
846,166.50125658768624,9.72346267983593,313954,0.9850185867574149,0.50743385701574,0.04005110835846777,1.0,0.5036328188631242
854,188.85598860112407,5.333949148622863,318633,0.9336124278444079,0.5246891094800867,0.17713205119659714,1.0,0.5072726914226554
857,198.03762775497364,11.39082723232274,320433,0.8196932667460147,0.4941489915827102,0.4341038194530907,1.0,0.4495997963761954
891,160.331313391124,11.754927888739783,330553,0.8446643847914956,0.6273994802538199,0.4725532727819712,1.0,0.5786707381304583
893,170.68271122262308,12.365523979882976,330955,0.8094538855576839,0.5237308239896376,0.4751020327124615,1.0,0.4738333872271886
896,157.10020186091614,5.765922727770778,332389,0.9630208580836235,0.7644929914005176,0.17468594747888527,1.0,0.7503578439889802
905,150.45254944830546,6.784466871489793,335486,0.8439088446001383,0.42078709406050613,0.3497441903850281,1.0,0.3879465222158788
915,164.38486847885173,11.359606744091437,339181,0.9708179899841317,0.5142688141532258,0.07819207784470884,1.0,0.5067651153104917
923,158.61773960668222,9.309868643126489,341356,0.866650328836183,0.46999810716477153,0.3194925414803583,1.0,0.4386610606457522
968,165.8327435208317,2.710260732313439,355911,0.9882591988953774,0.5392581637564761,0.03291558794269443,1.0,0.5360925023341216
984,168.92789605473322,9.252914855959645,360509,0.8188251712401919,0.501939974163946,0.4405087632236524,1.0,0.45647052973051827
985,181.01162319579322,10.370794967545706,360750,0.8529423164060532,0.4761295138144007,0.35237186490417366,1.0,0.44112026211827177
988,156.16076588982367,4.900597315763686,361189,0.8649872023772334,0.5358432857329151,0.3532150922083446,1.0,0.4996704351858269
994,151.04728530072444,10.189071025443468,363981,0.8101363529311718,0.4360877779951499,0.42438557708673086,1.0,0.3946891700089996
1016,152.3849740761251,8.075043660989143,370529,0.9477617875971958,0.5362361196718689,0.14281349750588065,1.0,0.5222301115131316
1019,173.5436779123469,10.560224343969475,371704,0.9937398609163031,0.4375063207161796,0.01543565504372069,1.0,0.4361368955073397
1100,161.19346959707414,4.928027612864939,390859,0.8232128377049364,0.5374989116765687,0.45327369778149224,1.0,0.4899874580105759
1198,151.54976410278707,5.099916563802289,409883,0.8549306576501655,0.5255023080383225,0.37175459740769407,1.0,0.48738517092310274
2057,179.240206982367,11.454191754747919,233214,0.9219509486908908,0.48532163125746225,0.1962246243931321,1.0,0.4663821848077451
2059,170.71104277663326,11.915249097117913,255614,0.8851152527033261,0.32610022579582054,0.24234196266361854,1.0,0.30736825477885
2060,206.13601100063724,13.27766857673967,265267,0.8646031175622196,0.5376259088563436,0.35510017948815653,1.0,0.5012294728678801
2064,175.79186470299499,8.46217019312037,321674,0.7981101925041624,0.40489295614396364,0.43420255131644,1.0,0.3640210756578009
